Epoch,Train Loss,Train Accuracy,Val Accuracy
1,0.2657545625808693,0.924447612259444,0.9675
2,0.09090025853809147,0.9857448325017819,0.9725
3,0.018884801971060888,0.9957234497505346,0.975
4,0.01403900586246025,0.9985744832501782,0.98
5,0.05835118995136803,0.9978617248752673,0.9875
6,0.04435206118172833,0.99215965787598,0.98
7,0.02129170092354928,0.9971489665003563,0.98
8,0.013299749188479922,0.9978617248752673,0.9775
9,0.005353034917442571,0.9985744832501782,0.9825
10,0.02617195805179931,0.9992872416250891,0.98
11,0.03136955736027587,0.9914468995010691,0.9825
12,0.007442232675939089,0.9992872416250891,0.985
13,0.002653402805749682,1.0,0.9825
14,0.0016104463526668649,1.0,0.9825
15,0.0020530887954269667,1.0,0.985
16,0.007591197125813258,0.9992872416250891,0.9775
17,0.05017293778170521,0.9964362081254454,0.985
18,0.05292408131728215,0.9964362081254454,0.97
19,0.03642541280991975,0.9907341411261582,0.9825
20,0.006063064382899375,1.0,0.9825
21,0.003638532766628833,1.0,0.975
22,0.0019839518797761272,1.0,0.9825
23,0.002417932766201418,0.9992872416250891,0.98
24,0.0016353154469037517,1.0,0.9825
25,0.11526260936668786,0.9992872416250891,0.98
26,0.02397721287395273,0.9992872416250891,0.9825
27,0.006288663888837965,1.0,0.98
28,0.015294617177763334,0.9992872416250891,0.98
29,0.02927823049858922,0.9914468995010691,0.965
30,0.033860174916862024,0.9950106913756237,0.9775
31,0.021644310548990256,0.9964362081254454,0.9775
32,0.008955810163613586,0.9971489665003563,0.9775
33,0.001943738571190763,1.0,0.98
34,0.001248122790240727,1.0,0.98
35,0.0008421315218410676,1.0,0.9825
36,0.026230402557606187,0.9992872416250891,0.98
37,0.017115539314025745,0.9942979330007128,0.9825
38,0.017104638776453657,0.9985744832501782,0.99
39,0.005462720588270929,1.0,0.985
40,0.0025383059387206145,0.9992872416250891,0.9825
41,0.0006271036905846337,1.0,0.98
42,0.010154383645082513,1.0,0.9825
43,0.009970013175569918,0.9950106913756237,0.9675
44,0.004267388533446051,0.9992872416250891,0.9825
45,0.0007663396979859542,1.0,0.98
46,0.0004206790839643439,1.0,0.98
47,0.00044655846812972975,1.0,0.9825
48,0.00045265549470925527,1.0,0.98
49,0.00043081961762038104,1.0,0.9775
50,0.0006179582466886911,1.0,0.9775
51,0.08797642386620975,0.9992872416250891,0.98
52,0.019979806089222188,0.9971489665003563,0.985
53,0.013287295509750644,0.9964362081254454,0.9775
54,0.003168165531297702,0.9992872416250891,0.9825
55,0.013555899076718128,0.9992872416250891,0.9775
56,0.019916978886439687,0.992872416250891,0.98
57,0.08676202135670576,0.9950106913756237,0.985
58,0.1038932973031132,0.9871703492516037,0.9775
59,0.0520723165522906,0.9985744832501782,0.98
60,0.01762120649662046,0.9971489665003563,0.9775
61,0.018186166660771483,0.9978617248752673,0.98
62,0.05362853347018938,0.9964362081254454,0.9725
63,0.0687397665876363,0.9885958660014256,0.9825
64,0.02382468301359387,0.9971489665003563,0.98
65,0.021879266387605595,0.9985744832501782,0.9775
66,0.007327181880273635,0.9992872416250891,0.9725
67,0.0024710013004507693,1.0,0.9775
68,0.0013026794185861945,1.0,0.97
69,0.0061584783439424685,1.0,0.9725
70,0.004722164117819851,0.9985744832501782,0.9725
