Epoch,Train Loss,Train Accuracy,Val Accuracy
1,0.28073666989803314,0.9180327868852459,0.965
2,0.07577197275878418,0.9828937990021382,0.97
3,0.08078925027733758,0.9885958660014256,0.9675
4,0.030458263343288786,0.9914468995010691,0.975
5,0.06699171346346182,0.9971489665003563,0.97
6,0.04934904626792386,0.9914468995010691,0.975
7,0.021923408411177143,0.99215965787598,0.9725
8,0.006629255101350802,1.0,0.9825
9,0.003861569134252412,0.9992872416250891,0.98
10,0.00243645806109444,1.0,0.9825
11,0.01848954754920366,0.9992872416250891,0.9825
12,0.0666605461876662,0.9964362081254454,0.9725
13,0.019915609620511532,0.9964362081254454,0.9825
14,0.01072995692846321,0.9985744832501782,0.9775
15,0.0026763155003122633,1.0,0.9825
16,0.003732535699825911,1.0,0.9825
17,0.03217555550231953,0.9992872416250891,0.985
18,0.0221450955030464,0.9950106913756237,0.9775
19,0.007523198850408551,0.9992872416250891,0.985
20,0.0021183924538837303,1.0,0.9875
21,0.001095332946750291,1.0,0.9875
22,0.05735799577087164,0.9992872416250891,0.9875
23,0.03272556753862383,0.992872416250891,0.9725
24,0.013606518382273083,0.9964362081254454,0.9875
25,0.007864702063324373,0.9978617248752673,0.9825
26,0.009134378364597935,1.0,0.9825
27,0.007418848985772846,1.0,0.9825
28,0.006616783638795217,0.9992872416250891,0.98
29,0.014071529783818516,0.9964362081254454,0.9825
30,0.00164745622203641,1.0,0.98
31,0.0023915984631804306,0.9992872416250891,0.9775
32,0.0009973301085188897,1.0,0.9775
33,0.0014840220731760685,1.0,0.98
34,0.0006704242252800171,1.0,0.9775
35,0.0006002430087565223,1.0,0.9875
36,0.000797376487753354,1.0,0.98
37,0.04961311517122556,0.9992872416250891,0.98
38,0.0825404703549187,0.99215965787598,0.98
39,0.05354690993027318,0.9843193157519601,0.9825
40,0.04595927101382542,0.9942979330007128,0.975
41,0.021420113143644164,0.9942979330007128,0.9825
42,0.006597962479905358,1.0,0.9825
43,0.0015713519588600668,1.0,0.9825
44,0.0008716451889735513,1.0,0.9825
45,0.0007646630914504861,1.0,0.9825
46,0.0006803130014478007,1.0,0.9825
47,0.00042234043939970434,1.0,0.9825
48,0.04743665944122421,0.9992872416250891,0.9825
49,0.023755715406011967,0.9964362081254454,0.9275
50,0.010893822464692806,0.9964362081254454,0.9825
51,0.0042395643887132226,0.9992872416250891,0.9825
52,0.01915738228957967,0.9978617248752673,0.9825
53,0.07316588961042553,0.9957234497505346,0.9825
54,0.0313508494513198,0.9935851746258019,0.9725
55,0.005976182009492602,0.9992872416250891,0.98
56,0.002981635448079379,0.9992872416250891,0.98
57,0.002096887267682524,1.0,0.9825
58,0.07059866823311452,0.9992872416250891,0.985
59,0.05229982602066316,0.9836065573770492,0.9675
60,0.012757501420786693,0.9978617248752673,0.9825
61,0.00356459547765553,1.0,0.98
62,0.0017152033604881062,1.0,0.98
63,0.004125586624944671,0.9985744832501782,0.9825
64,0.009502553877176806,1.0,0.985
65,0.018643736800489325,0.9971489665003563,0.985
66,0.005904293807578229,0.9992872416250891,0.9775
67,0.006694255770915853,0.9985744832501782,0.9775
68,0.0277647824003084,0.9992872416250891,0.98
69,0.018804867602219538,0.99215965787598,0.9825
70,0.012691437510684841,0.9992872416250891,0.98
