Epoch,Train Loss,Train Accuracy,Val Accuracy
1,0.39522582115161986,0.8210976478973628,0.52
2,0.1660588946016062,0.9415538132573058,0.85
3,0.1414102523454598,0.9479686386315039,0.915
4,0.15737067624216988,0.9486813970064149,0.585
5,0.1892894988968259,0.9337134711332858,0.83
6,0.15966011920855158,0.940128296507484,0.945
7,0.11653720968890757,0.9543834640057021,0.9225
8,0.14281890692100638,0.9529579472558802,0.8025
9,0.10117372045559543,0.9686386315039202,0.95
10,0.06246721212353025,0.9800427655024947,0.8875
11,0.13971074386721566,0.9579472558802566,0.8825
12,0.10119814416837125,0.9629365645046329,0.9225
13,0.212490393469731,0.9757662152530292,0.92
14,0.18186832059706962,0.9451176051318603,0.8525
15,0.11059010880334037,0.9615110477548111,0.9075
16,0.0839414679933162,0.9665003563791874,0.95
17,0.06522294054073947,0.9821810406272273,0.955
18,0.1690337848627851,0.9593727726300784,0.5975
19,0.10927529677393891,0.9579472558802566,0.815
20,0.08793033366756779,0.9750534568781183,0.9125
21,0.16159796395472117,0.9522451888809693,0.8925
22,0.19693360867954435,0.9486813970064149,0.945
23,0.1342506201139518,0.9558089807555239,0.96
24,0.0765242867083067,0.9729151817533856,0.9325
25,0.08192664109880016,0.9729151817533856,0.9675
26,0.039477694542646144,0.9857448325017819,0.9525
27,0.09787263867578336,0.99215965787598,0.9475
28,0.10867291748789805,0.9579472558802566,0.925
29,0.05008955146851284,0.9836065573770492,0.9625
30,0.1262443767683137,0.9907341411261582,0.9675
31,0.09821443694333236,0.9615110477548111,0.9375
32,0.08117351326204482,0.9807555238774056,0.9575
33,0.11116885675472163,0.9643620812544548,0.965
34,0.10492359665000722,0.9757662152530292,0.965
35,0.13079514500818082,0.9729151817533856,0.9575
36,0.16055708272116526,0.9572344975053457,0.8725
37,0.10756457277706691,0.9607982893799002,0.94
38,0.05039419380149671,0.9836065573770492,0.965
39,0.08000210827837388,0.9942979330007128,0.9625
40,0.0557333413467166,0.9843193157519601,0.96
41,0.04779684594610617,0.985032074126871,0.9525
42,0.06150027832371138,0.9942979330007128,0.955
43,0.11803085827046916,0.9593727726300784,0.9525
44,0.2736143083533361,0.940128296507484,0.9525
45,0.12802027179194347,0.9650748396293657,0.96
46,0.09804436254004638,0.9814682822523164,0.96
47,0.08393299269179504,0.9786172487526729,0.9575
48,0.08055099955249932,0.9650748396293657,0.9625
49,0.06432991337385915,0.9800427655024947,0.9625
50,0.04300067870922032,0.9864575908766928,0.9725
51,0.026605468797719196,0.99215965787598,0.9625
52,0.018016205169260502,0.9971489665003563,0.9675
53,0.036225279837491964,0.9985744832501782,0.9575
54,0.06375177264756833,0.9757662152530292,0.93
55,0.13031771060611522,0.9857448325017819,0.9475
56,0.08054367017133959,0.9764789736279401,0.9575
57,0.03537862477380605,0.9871703492516037,0.965
58,0.018752327089064887,0.9950106913756237,0.9625
59,0.006760072317861375,0.9985744832501782,0.97
60,0.12697833012844922,0.9992872416250891,0.95
61,0.1724408362947759,0.955096222380613,0.935
62,0.06616601503143708,0.9736279401282965,0.9525
63,0.031940954515621775,0.99215965787598,0.9525
64,0.07776364466796319,0.9950106913756237,0.9525
65,0.08307467241233792,0.9665003563791874,0.9525
66,0.04827114955211679,0.9821810406272273,0.965
67,0.022567990014240855,0.9935851746258019,0.965
68,0.006717744560557462,0.9992872416250891,0.9675
69,0.06028968810624931,0.9971489665003563,0.9725
70,0.04663988217223613,0.9821810406272273,0.93
