Epoch,Train Loss,Train Accuracy,Val Accuracy
1,0.6785622994105022,0.6101211689237348,0.5025
2,0.544405750433604,0.811831789023521,0.4375
3,0.4453873793284098,0.857448325017819,0.4975
4,0.35088088512420657,0.872416250890948,0.5025
5,0.2725842833518982,0.8995010691375623,0.4975
6,0.23132705191771188,0.9087669280114041,0.8875
7,0.18191788593928018,0.9387027797576621,0.935
8,0.16951691607634226,0.9387027797576621,0.885
9,0.1426276703675588,0.9522451888809693,0.935
10,0.11820090115070343,0.9629365645046329,0.935
11,0.10261807069182396,0.9707769066286529,0.93
12,0.08847981418172518,0.977191732002851,0.9225
13,0.07831827079256376,0.9764789736279401,0.94
14,0.06366295230885347,0.985032074126871,0.94
15,0.05095463072260221,0.9885958660014256,0.9375
16,0.041150995840628944,0.9900213827512473,0.9375
17,0.033239077962934974,0.9957234497505346,0.94
18,0.02810763753950596,0.9950106913756237,0.915
19,0.020018172357231377,0.9978617248752673,0.95
20,0.018121257393310466,0.9992872416250891,0.9375
21,0.014684911631047726,0.9985744832501782,0.955
22,0.01235558328529199,0.9992872416250891,0.9525
23,0.011985892662778497,0.9964362081254454,0.95
24,0.008355984231457114,1.0,0.9475
25,0.007450882873187462,0.9992872416250891,0.95
26,0.007536702308182915,1.0,0.95
27,0.008631095942109823,0.9985744832501782,0.96
28,0.009787736258779963,0.9978617248752673,0.9375
29,0.005489353990803162,1.0,0.9575
30,0.004418661740298073,1.0,0.9575
31,0.0038559218014900883,1.0,0.955
32,0.004055036464706063,1.0,0.95
33,0.003454083406055967,1.0,0.95
34,0.003027887851931155,1.0,0.9225
35,0.00374732268974185,1.0,0.955
36,0.005147822240057091,0.9992872416250891,0.9425
37,0.004614690598100424,0.9992872416250891,0.94
38,0.006925512419547886,0.9985744832501782,0.9475
39,0.00784597066231072,0.9992872416250891,0.905
40,0.005739678450239202,0.9992872416250891,0.955
41,0.003590166863674919,1.0,0.9
42,0.004167060542386025,0.9992872416250891,0.9575
43,0.002682696282863617,1.0,0.9525
44,0.002552487941769262,1.0,0.945
45,0.0019254363452394804,1.0,0.9525
46,0.0034598147535386185,1.0,0.9575
47,0.0022409626826023063,1.0,0.9575
48,0.004756202246062458,0.9985744832501782,0.9625
49,0.0027484446996822952,1.0,0.96
50,0.0019764282294393825,1.0,0.95
51,0.0008664045832119882,1.0,0.95
52,0.0012136441539041698,1.0,0.95
53,0.0008745470142457635,1.0,0.9525
54,0.001199524519809832,1.0,0.95
55,0.0007258514388619612,1.0,0.95
56,0.001230187036950762,1.0,0.945
57,0.0006527540264263128,1.0,0.95
58,0.0007382474985206499,1.0,0.95
59,0.0007537831115769222,1.0,0.95
60,0.0008256581932073459,1.0,0.95
