1 [SwanLab-WARNING]:     An error occurred: 
2 [SwanLab-WARNING]:     Error getting branch name: fatal: not a git repository (or any parent up to mount point /root)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).

3 [SwanLab-INFO]:        Experiment ResNet50_2024-01-17_23-26-46 has been registered.
4 [SwanLab-INFO]:        Run data will be saved locally in /root/onethingai-tmp/tongue_classification/swanlog/ResNet50_2024-01-17_23-26-46
5 [SwanLab-INFO]:        Experiment_name: ResNet50_2024-01-17_23-26-46
6 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
7 Epoch [1/70], Iteration [1/21], Loss: 0.6851
8 Epoch [1/70], Iteration [2/21], Loss: 0.6388
9 Epoch [1/70], Iteration [3/21], Loss: 0.5569
10 Epoch [1/70], Iteration [4/21], Loss: 0.5014
11 Epoch [1/70], Iteration [5/21], Loss: 0.4197
12 Epoch [1/70], Iteration [6/21], Loss: 0.4230
13 Epoch [1/70], Iteration [7/21], Loss: 0.3538
14 Epoch [1/70], Iteration [8/21], Loss: 0.2399
15 Epoch [1/70], Iteration [9/21], Loss: 0.2442
16 Epoch [1/70], Iteration [10/21], Loss: 0.1860
17 Epoch [1/70], Iteration [11/21], Loss: 0.1830
18 Epoch [1/70], Iteration [12/21], Loss: 0.1638
19 Epoch [1/70], Iteration [13/21], Loss: 0.1608
20 Epoch [1/70], Iteration [14/21], Loss: 0.1810
21 Epoch [1/70], Iteration [15/21], Loss: 0.1388
22 Epoch [1/70], Iteration [16/21], Loss: 0.0480
23 Epoch [1/70], Iteration [17/21], Loss: 0.1059
24 Epoch [1/70], Iteration [18/21], Loss: 0.0791
25 Epoch [1/70], Iteration [19/21], Loss: 0.0803
26 Epoch [1/70], Iteration [20/21], Loss: 0.0777
27 Epoch [1/70], Iteration [21/21], Loss: 0.1134
28 Accuracy: 0.97%
29 Epoch [2/70], Iteration [1/21], Loss: 0.0488
30 Epoch [2/70], Iteration [2/21], Loss: 0.0564
31 Epoch [2/70], Iteration [3/21], Loss: 0.0222
32 Epoch [2/70], Iteration [4/21], Loss: 0.0258
33 Epoch [2/70], Iteration [5/21], Loss: 0.0979
34 Epoch [2/70], Iteration [6/21], Loss: 0.0486
35 Epoch [2/70], Iteration [7/21], Loss: 0.0364
36 Epoch [2/70], Iteration [8/21], Loss: 0.0157
37 Epoch [2/70], Iteration [9/21], Loss: 0.0110
38 Epoch [2/70], Iteration [10/21], Loss: 0.0582
39 Epoch [2/70], Iteration [11/21], Loss: 0.0391
40 Epoch [2/70], Iteration [12/21], Loss: 0.0234
41 Epoch [2/70], Iteration [13/21], Loss: 0.0804
42 Epoch [2/70], Iteration [14/21], Loss: 0.0154
43 Epoch [2/70], Iteration [15/21], Loss: 0.0235
44 Epoch [2/70], Iteration [16/21], Loss: 0.0070
45 Epoch [2/70], Iteration [17/21], Loss: 0.0465
46 Epoch [2/70], Iteration [18/21], Loss: 0.0553
47 Epoch [2/70], Iteration [19/21], Loss: 0.0308
48 Epoch [2/70], Iteration [20/21], Loss: 0.0446
49 Epoch [2/70], Iteration [21/21], Loss: 1.1218
50 Accuracy: 0.97%
51 Epoch [3/70], Iteration [1/21], Loss: 0.0141
52 Epoch [3/70], Iteration [2/21], Loss: 0.0164
53 Epoch [3/70], Iteration [3/21], Loss: 0.0100
54 Epoch [3/70], Iteration [4/21], Loss: 0.0168
55 Epoch [3/70], Iteration [5/21], Loss: 0.0268
56 Epoch [3/70], Iteration [6/21], Loss: 0.0088
57 Epoch [3/70], Iteration [7/21], Loss: 0.0114
58 Epoch [3/70], Iteration [8/21], Loss: 0.0411
59 Epoch [3/70], Iteration [9/21], Loss: 0.0169
60 Epoch [3/70], Iteration [10/21], Loss: 0.0221
61 Epoch [3/70], Iteration [11/21], Loss: 0.0353
62 Epoch [3/70], Iteration [12/21], Loss: 0.0267
63 Epoch [3/70], Iteration [13/21], Loss: 0.0217
64 Epoch [3/70], Iteration [14/21], Loss: 0.0110
65 Epoch [3/70], Iteration [15/21], Loss: 0.0220
66 Epoch [3/70], Iteration [16/21], Loss: 0.0218
67 Epoch [3/70], Iteration [17/21], Loss: 0.0136
68 Epoch [3/70], Iteration [18/21], Loss: 0.0157
69 Epoch [3/70], Iteration [19/21], Loss: 0.0227
70 Epoch [3/70], Iteration [20/21], Loss: 0.0159
71 Epoch [3/70], Iteration [21/21], Loss: 0.0057
72 Accuracy: 0.97%
73 Epoch [4/70], Iteration [1/21], Loss: 0.0052
74 Epoch [4/70], Iteration [2/21], Loss: 0.0084
75 Epoch [4/70], Iteration [3/21], Loss: 0.0055
76 Epoch [4/70], Iteration [4/21], Loss: 0.0048
77 Epoch [4/70], Iteration [5/21], Loss: 0.0067
78 Epoch [4/70], Iteration [6/21], Loss: 0.0072
79 Epoch [4/70], Iteration [7/21], Loss: 0.0043
80 Epoch [4/70], Iteration [8/21], Loss: 0.0236
81 Epoch [4/70], Iteration [9/21], Loss: 0.0757
82 Epoch [4/70], Iteration [10/21], Loss: 0.0062
83 Epoch [4/70], Iteration [11/21], Loss: 0.0059
84 Epoch [4/70], Iteration [12/21], Loss: 0.0067
85 Epoch [4/70], Iteration [13/21], Loss: 0.0047
86 Epoch [4/70], Iteration [14/21], Loss: 0.0119
87 Epoch [4/70], Iteration [15/21], Loss: 0.0035
88 Epoch [4/70], Iteration [16/21], Loss: 0.0167
89 Epoch [4/70], Iteration [17/21], Loss: 0.0056
90 Epoch [4/70], Iteration [18/21], Loss: 0.0049
91 Epoch [4/70], Iteration [19/21], Loss: 0.0119
92 Epoch [4/70], Iteration [20/21], Loss: 0.0048
93 Epoch [4/70], Iteration [21/21], Loss: 0.0704
94 Accuracy: 0.98%
95 Epoch [5/70], Iteration [1/21], Loss: 0.0020
96 Epoch [5/70], Iteration [2/21], Loss: 0.0075
97 Epoch [5/70], Iteration [3/21], Loss: 0.0049
98 Epoch [5/70], Iteration [4/21], Loss: 0.0025
99 Epoch [5/70], Iteration [5/21], Loss: 0.0037
100 Epoch [5/70], Iteration [6/21], Loss: 0.0038
101 Epoch [5/70], Iteration [7/21], Loss: 0.0052
102 Epoch [5/70], Iteration [8/21], Loss: 0.0122
103 Epoch [5/70], Iteration [9/21], Loss: 0.0023
104 Epoch [5/70], Iteration [10/21], Loss: 0.0023
105 Epoch [5/70], Iteration [11/21], Loss: 0.0018
106 Epoch [5/70], Iteration [12/21], Loss: 0.0062
107 Epoch [5/70], Iteration [13/21], Loss: 0.0061
108 Epoch [5/70], Iteration [14/21], Loss: 0.0133
109 Epoch [5/70], Iteration [15/21], Loss: 0.0024
110 Epoch [5/70], Iteration [16/21], Loss: 0.0101
111 Epoch [5/70], Iteration [17/21], Loss: 0.0095
112 Epoch [5/70], Iteration [18/21], Loss: 0.0034
113 Epoch [5/70], Iteration [19/21], Loss: 0.0012
114 Epoch [5/70], Iteration [20/21], Loss: 0.0027
115 Epoch [5/70], Iteration [21/21], Loss: 1.1221
116 Accuracy: 0.99%
117 Epoch [6/70], Iteration [1/21], Loss: 0.0053
118 Epoch [6/70], Iteration [2/21], Loss: 0.0036
119 Epoch [6/70], Iteration [3/21], Loss: 0.0125
120 Epoch [6/70], Iteration [4/21], Loss: 0.0210
121 Epoch [6/70], Iteration [5/21], Loss: 0.0289
122 Epoch [6/70], Iteration [6/21], Loss: 0.0131
123 Epoch [6/70], Iteration [7/21], Loss: 0.0890
124 Epoch [6/70], Iteration [8/21], Loss: 0.1827
125 Epoch [6/70], Iteration [9/21], Loss: 0.0215
126 Epoch [6/70], Iteration [10/21], Loss: 0.0796
127 Epoch [6/70], Iteration [11/21], Loss: 0.0240
128 Epoch [6/70], Iteration [12/21], Loss: 0.0225
129 Epoch [6/70], Iteration [13/21], Loss: 0.0375
130 Epoch [6/70], Iteration [14/21], Loss: 0.0190
131 Epoch [6/70], Iteration [15/21], Loss: 0.0160
132 Epoch [6/70], Iteration [16/21], Loss: 0.0207
133 Epoch [6/70], Iteration [17/21], Loss: 0.0139
134 Epoch [6/70], Iteration [18/21], Loss: 0.0214
135 Epoch [6/70], Iteration [19/21], Loss: 0.0185
136 Epoch [6/70], Iteration [20/21], Loss: 0.0098
137 Epoch [6/70], Iteration [21/21], Loss: 0.2712
138 Accuracy: 0.98%
139 Epoch [7/70], Iteration [1/21], Loss: 0.0123
140 Epoch [7/70], Iteration [2/21], Loss: 0.0516
141 Epoch [7/70], Iteration [3/21], Loss: 0.0113
142 Epoch [7/70], Iteration [4/21], Loss: 0.0069
143 Epoch [7/70], Iteration [5/21], Loss: 0.0143
144 Epoch [7/70], Iteration [6/21], Loss: 0.0088
145 Epoch [7/70], Iteration [7/21], Loss: 0.0061
146 Epoch [7/70], Iteration [8/21], Loss: 0.0166
147 Epoch [7/70], Iteration [9/21], Loss: 0.0157
148 Epoch [7/70], Iteration [10/21], Loss: 0.0217
149 Epoch [7/70], Iteration [11/21], Loss: 0.0185
150 Epoch [7/70], Iteration [12/21], Loss: 0.0115
151 Epoch [7/70], Iteration [13/21], Loss: 0.0111
152 Epoch [7/70], Iteration [14/21], Loss: 0.0049
153 Epoch [7/70], Iteration [15/21], Loss: 0.0034
154 Epoch [7/70], Iteration [16/21], Loss: 0.0070
155 Epoch [7/70], Iteration [17/21], Loss: 0.0060
156 Epoch [7/70], Iteration [18/21], Loss: 0.0364
157 Epoch [7/70], Iteration [19/21], Loss: 0.0033
158 Epoch [7/70], Iteration [20/21], Loss: 0.0036
159 Epoch [7/70], Iteration [21/21], Loss: 0.1762
160 Accuracy: 0.98%
161 Epoch [8/70], Iteration [1/21], Loss: 0.0034
162 Epoch [8/70], Iteration [2/21], Loss: 0.0148
163 Epoch [8/70], Iteration [3/21], Loss: 0.0198
