1 [SwanLab-WARNING]:     An error occurred: 
2 [SwanLab-WARNING]:     Error getting branch name: fatal: not a git repository (or any parent up to mount point /root)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).

3 [SwanLab-INFO]:        Experiment ResNet50_2024-01-17_19-30-22 has been registered.
4 [SwanLab-INFO]:        Run data will be saved locally in /root/onethingai-tmp/tongue_classification/swanlog/ResNet50_2024-01-17_19-30-22
5 [SwanLab-INFO]:        Experiment_name: ResNet50_2024-01-17_19-30-22
6 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
7 Epoch [1/70], Iteration [1/36], Loss: 0.6997
8 Epoch [1/70], Iteration [2/36], Loss: 0.6384
9 Epoch [1/70], Iteration [3/36], Loss: 0.6024
10 Epoch [1/70], Iteration [4/36], Loss: 0.5405
11 Epoch [1/70], Iteration [5/36], Loss: 0.5485
12 Epoch [1/70], Iteration [6/36], Loss: 0.4357
13 Epoch [1/70], Iteration [7/36], Loss: 0.3780
14 Epoch [1/70], Iteration [8/36], Loss: 0.3729
15 Epoch [1/70], Iteration [9/36], Loss: 0.3815
16 Epoch [1/70], Iteration [10/36], Loss: 0.3400
17 Epoch [1/70], Iteration [11/36], Loss: 0.2603
18 Epoch [1/70], Iteration [12/36], Loss: 0.2829
19 Epoch [1/70], Iteration [13/36], Loss: 0.1977
20 Epoch [1/70], Iteration [14/36], Loss: 0.1941
21 Epoch [1/70], Iteration [15/36], Loss: 0.1400
22 Epoch [1/70], Iteration [16/36], Loss: 0.1246
23 Epoch [1/70], Iteration [17/36], Loss: 0.1314
24 Epoch [1/70], Iteration [18/36], Loss: 0.1494
25 Epoch [1/70], Iteration [19/36], Loss: 0.0687
26 Epoch [1/70], Iteration [20/36], Loss: 0.1392
27 Epoch [1/70], Iteration [21/36], Loss: 0.1044
28 Epoch [1/70], Iteration [22/36], Loss: 0.0410
29 Epoch [1/70], Iteration [23/36], Loss: 0.0543
30 Epoch [1/70], Iteration [24/36], Loss: 0.1799
31 Epoch [1/70], Iteration [25/36], Loss: 0.0651
32 Epoch [1/70], Iteration [26/36], Loss: 0.0304
33 Epoch [1/70], Iteration [27/36], Loss: 0.0442
34 Epoch [1/70], Iteration [28/36], Loss: 0.0689
35 Epoch [1/70], Iteration [29/36], Loss: 0.1335
36 Epoch [1/70], Iteration [30/36], Loss: 0.0642
37 Epoch [1/70], Iteration [31/36], Loss: 0.0747
38 Epoch [1/70], Iteration [32/36], Loss: 0.0523
39 Epoch [1/70], Iteration [33/36], Loss: 0.1300
40 Epoch [1/70], Iteration [34/36], Loss: 0.0378
41 Epoch [1/70], Iteration [35/36], Loss: 0.0665
42 Epoch [1/70], Iteration [36/36], Loss: 0.0830
43 Epoch [2/70], Iteration [1/36], Loss: 0.0275
44 Epoch [2/70], Iteration [2/36], Loss: 0.0188
45 Epoch [2/70], Iteration [3/36], Loss: 0.1097
