1 [SwanLab-WARNING]:     An error occurred: 
2 [SwanLab-WARNING]:     Error getting branch name: fatal: not a git repository (or any parent up to mount point /root)
Stopping at filesystem boundary (GIT_DISCOVERY_ACROSS_FILESYSTEM not set).

3 [SwanLab-INFO]:        Experiment ResNet50_2024-01-17_22-21-38 has been registered.
4 [SwanLab-INFO]:        Run data will be saved locally in /root/onethingai-tmp/tongue_classification/swanlog/ResNet50_2024-01-17_22-21-38
5 [SwanLab-INFO]:        Experiment_name: ResNet50_2024-01-17_22-21-38
6 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
7 Epoch [1/70], Iteration [1/21], Loss: 0.6838
8 Epoch [1/70], Iteration [2/21], Loss: 0.6399
9 Epoch [1/70], Iteration [3/21], Loss: 0.5955
10 Epoch [1/70], Iteration [4/21], Loss: 0.5387
11 Epoch [1/70], Iteration [5/21], Loss: 0.4497
12 Epoch [1/70], Iteration [6/21], Loss: 0.3836
13 Epoch [1/70], Iteration [7/21], Loss: 0.3518
14 Epoch [1/70], Iteration [8/21], Loss: 0.2920
15 Epoch [1/70], Iteration [9/21], Loss: 0.2675
16 Epoch [1/70], Iteration [10/21], Loss: 0.2169
17 Epoch [1/70], Iteration [11/21], Loss: 0.2362
18 Epoch [1/70], Iteration [12/21], Loss: 0.1358
19 Epoch [1/70], Iteration [13/21], Loss: 0.1867
20 Epoch [1/70], Iteration [14/21], Loss: 0.1905
21 Epoch [1/70], Iteration [15/21], Loss: 0.0816
22 Epoch [1/70], Iteration [16/21], Loss: 0.0780
23 Epoch [1/70], Iteration [17/21], Loss: 0.1006
24 Epoch [1/70], Iteration [18/21], Loss: 0.0787
25 Epoch [1/70], Iteration [19/21], Loss: 0.1670
26 Epoch [1/70], Iteration [20/21], Loss: 0.0737
27 Epoch [1/70], Iteration [21/21], Loss: 0.1472
28 Accuracy: 0.96%
29 Epoch [2/70], Iteration [1/21], Loss: 0.0416
30 Epoch [2/70], Iteration [2/21], Loss: 0.0437
31 Epoch [2/70], Iteration [3/21], Loss: 0.0579
32 Epoch [2/70], Iteration [4/21], Loss: 0.0562
33 Epoch [2/70], Iteration [5/21], Loss: 0.0790
34 Epoch [2/70], Iteration [6/21], Loss: 0.0488
35 Epoch [2/70], Iteration [7/21], Loss: 0.0208
36 Epoch [2/70], Iteration [8/21], Loss: 0.0412
37 Epoch [2/70], Iteration [9/21], Loss: 0.0325
38 Epoch [2/70], Iteration [10/21], Loss: 0.0564
39 Epoch [2/70], Iteration [11/21], Loss: 0.0242
40 Epoch [2/70], Iteration [12/21], Loss: 0.0395
41 Epoch [2/70], Iteration [13/21], Loss: 0.1353
42 Epoch [2/70], Iteration [14/21], Loss: 0.0547
43 Epoch [2/70], Iteration [15/21], Loss: 0.0080
44 Epoch [2/70], Iteration [16/21], Loss: 0.0494
45 Epoch [2/70], Iteration [17/21], Loss: 0.0116
46 Epoch [2/70], Iteration [18/21], Loss: 0.0194
47 Epoch [2/70], Iteration [19/21], Loss: 0.0152
48 Epoch [2/70], Iteration [20/21], Loss: 0.0247
49 Epoch [2/70], Iteration [21/21], Loss: 0.7309
50 Accuracy: 0.97%
51 Epoch [3/70], Iteration [1/21], Loss: 0.0212
52 Epoch [3/70], Iteration [2/21], Loss: 0.0457
53 Epoch [3/70], Iteration [3/21], Loss: 0.0176
54 Epoch [3/70], Iteration [4/21], Loss: 0.0532
55 Epoch [3/70], Iteration [5/21], Loss: 0.0195
56 Epoch [3/70], Iteration [6/21], Loss: 0.0800
57 Epoch [3/70], Iteration [7/21], Loss: 0.0362
58 Epoch [3/70], Iteration [8/21], Loss: 0.0257
59 Epoch [3/70], Iteration [9/21], Loss: 0.0298
60 Epoch [3/70], Iteration [10/21], Loss: 0.0301
61 Epoch [3/70], Iteration [11/21], Loss: 0.0281
62 Epoch [3/70], Iteration [12/21], Loss: 0.0521
63 Epoch [3/70], Iteration [13/21], Loss: 0.0259
